# Merged run metadata for plotting. One row per run.
#run:fill,time,delivered(/fb),recorded(/fb),integrated_recorded(/fb)
361400:8330,10/31/22 17:20:30,0.192093753,0.182377034,23.553119918
361417:8331,11/01/22 04:24:44,0.636157087,0.608633064,24.161752982
361443:8333,11/01/22 18:11:32,0.803395127,0.771169125,24.932922107
361468:8334,11/02/22 11:35:09,0.735200712,0.696631569,25.629553676
361475:8335,11/03/22 02:17:52,0.502537899,0.480825669,26.110379345
361512:8342,11/03/22 20:42:36,0.600887504,0.575840391,26.686219736
361569:8345,11/04/22 21:57:59,0.237080691,0.226224268,26.912444004
361573:8345,11/05/22 01:48:33,0.127506069,0.121532869,27.033976873
361579:8347,11/05/22 08:31:22,0.360569668,0.342178683,27.376155556
361580:8347,11/05/22 14:13:00,0.146208966,0.140259309,27.516414865
361957:8385,11/12/22 07:34:53,0.333436503,0.323771436,27.840186301
361971:8387,11/12/22 17:51:37,0.837699518,0.803779462,28.643965763
361989:8389,11/13/22 14:16:41,0.043391176,0.041308701,28.685274464
361990:8389,11/13/22 15:03:08,0.088003175,0.084157252,28.769431716
361994:8389,11/13/22 16:39:23,0.050341982,0.047399399,28.816831115
362058:8395,11/14/22 16:00:57,0.065870940,0.061779813,28.878610928
362059:8395,11/14/22 17:09:39,0.026636733,0.025043044,28.903653972
362060:8395,11/14/22 17:39:17,0.036658439,0.035048336,28.938702308
362061:8395,11/14/22 18:16:14,0.134489798,0.127733370,29.066435678
362062:8395,11/14/22 20:20:50,0.088109469,0.083450958,29.149886636
362063:8395,11/14/22 21:46:25,0.034246018,0.032763131,29.182649767
362064:8395,11/14/22 23:15:16,0.288038377,0.277999081,29.460648848
362087:8398,11/15/22 12:07:32,0.063964823,0.060412714,29.521061562
362091:8398,11/15/22 13:07:33,0.520131211,0.496209918,30.017271480
362104:8399,11/16/22 01:17:50,0.043028024,0.041085542,30.058357022
362105:8399,11/16/22 02:07:18,0.076773990,0.073123214,30.131480236
362106:8399,11/16/22 03:21:10,0.033380821,0.032288451,30.163768687
362107:8399,11/16/22 03:54:57,0.328311771,0.313860982,30.477629669
362148:8401,11/16/22 13:18:54,0.303143003,0.288720985,30.766350654
362153:8401,11/16/22 18:05:40,0.060888530,0.056974819,30.823325473
362154:8401,11/16/22 19:04:32,0.276255421,0.264980179,31.088305652
362159:8402,11/17/22 02:22:26,0.001915149,0.001662832,31.089968484
362161:8402,11/17/22 02:36:51,0.051050559,0.048928735,31.138897219
362163:8402,11/17/22 03:27:43,0.027997266,0.026361137,31.165258356
362166:8402,11/17/22 03:55:09,0.142959132,0.137306173,31.302564529
362167:8402,11/17/22 06:08:33,0.266380908,0.255683413,31.558247942
362437:8456,11/21/22 11:53:12,0.011505452,0.009766000,31.568013942
362439:8456,11/21/22 13:08:41,0.528865965,0.506073917,32.074087859
362597:8471,11/23/22 21:16:30,0.059784040,0.057671469,32.131759328
362614:8474,11/24/22 06:40:41,0.069212131,0.064255070,32.196014398
362615:8474,11/24/22 07:43:24,0.071404259,0.066283169,32.262297567
362616:8474,11/24/22 08:45:49,0.169143371,0.158203139,32.420500706
362617:8474,11/24/22 11:07:16,0.113832507,0.107721529,32.528222235
362618:8474,11/24/22 12:44:46,0.106631626,0.100029976,32.628252211
362653:8484,11/25/22 07:53:12,0.107975154,0.102033856,32.730286067
362654:8484,11/25/22 09:39:59,0.011470235,0.010606216,32.740892283
362655:8484,11/25/22 10:00:15,0.147807042,0.140460920,32.881353203
