year,run,total,passed,efficiency
2024,385415,160204,152027,94.895883
2024,385422,649519,617205,95.024934
2024,385423,240578,228491,94.975850
2024,385424,306586,292083,95.269517
2024,385437,344451,327085,94.958354
2024,385443,701727,666582,94.991642
2024,385444,56138,53425,95.167266
2024,385447,44646,42488,95.166420
2024,385474,446436,423365,94.832182
2024,385478,390027,370343,94.953170
2024,385481,64533,61365,95.090884
2024,385483,13301,12685,95.368769
2024,385484,11465,10887,94.958570
2024,385511,53846,51142,94.978271
2024,385512,13704,12963,94.592820
2024,385513,11991,11338,94.554249
2024,385514,14853,14126,95.105366
2024,385515,525342,499158,95.015818
2024,385567,151210,143970,95.211957
2024,385568,161603,153515,94.995142
2024,385589,122762,116393,94.811912
2024,385591,6992,6569,93.950229
2024,385592,7962,7517,94.410952
2024,385604,681293,647364,95.019911
2024,385606,297971,283375,95.101537
2024,385618,78073,74170,95.000833
2024,385619,46759,44455,95.072606
2024,385620,1028622,975470,94.832699
2024,385697,8460,8048,95.130024
2024,385712,291398,277247,95.143755
2024,385713,391090,371916,95.097292
2024,385727,319126,303941,95.241691
2024,385728,695078,661399,95.154645
2024,385738,972589,925134,95.120755
2024,385739,108340,103077,95.142145
2024,385754,37688,35786,94.953301
2024,385764,1126435,1071680,95.139089
2024,385799,2487,2386,95.938882
2024,385801,60965,57913,94.993849
2024,385836,74826,71134,95.065886
2024,385842,1123937,1070795,95.271799
2024,385863,4514,4299,95.237040
2024,385882,55082,52447,95.216223
2024,385888,108364,103130,95.169983
2024,385889,954259,906750,95.021373
2024,385908,532588,507295,95.250926
2024,385915,388016,369221,95.156128
2024,385933,96268,91628,95.180122
2024,385934,769176,731796,95.140254
2024,385986,1183781,1125525,95.078819
2024,386010,576458,548270,95.110138
2024,386025,1127558,1072926,95.154839
2024,386279,123639,117060,94.678863
2024,386308,83052,78113,94.053123
2024,386313,45082,42438,94.135132
2024,386319,443873,417498,94.057985
2024,386478,123396,116174,94.147298
2024,386505,83255,78396,94.163714
2024,386509,326027,307202,94.225938
2024,386553,278907,262247,94.026683
2024,386554,302722,284988,94.141820
2024,386592,128177,120643,94.122190
2024,386593,219347,206447,94.118907
2024,386594,248629,234325,94.246850
2024,386605,33043,30879,93.450958
2024,386614,240316,226161,94.109839
2024,386615,11571,10830,93.596059
2024,386616,41222,38781,94.078405
2024,386617,4289,4016,93.634880
2024,386618,275000,259136,94.231273
2024,386629,13881,13087,94.279951
2024,386630,8475,8008,94.489676
2024,386640,375892,354111,94.205516
2024,386642,199941,188496,94.275811
2024,386661,132878,125182,94.208221
2024,386668,107263,101013,94.173200
2024,386679,109678,102312,93.283977
2024,386693,35477,33180,93.525383
2024,386694,849735,792054,93.211884
